termo,mean_tfidf
mesma coisa,0.0022227787646313247
esse produto,0.0022223699154827405
speaker bueno,0.0022105623598142193
atencao speaker,0.0022086853270996366
mes,0.0022046070154967713
acho speaker,0.0022024058129583653
gosto muito,0.0022013563318070643
opcao,0.0021962413498254354
barra,0.002192610615445765
mais alguma,0.0021924721520824642
imagens,0.0021848060748558377
estas,0.002181431270770274
troca,0.0021812994087245323
essa propaganda,0.00217957758161607
speaker obrigada,0.002178493997964889
pronto,0.0021682528021776943
comprou,0.002167662202038314
partir,0.0021670349099084897
costuma,0.0021578814175918833
material,0.0021422412109769265
veces,0.002140380713736963
falam,0.0021399516423751376
vai ficar,0.0021383307742870367
comecei,0.0021330978628846735
quiero,0.0021313247162016787
escolher,0.0021235474112194157
bioeficiente,0.002120739370191609
outra coisa,0.0021178458007844237
aniversario,0.0021131697087873724
pagar,0.002111904933215417
nenhum,0.0021104807806454876
competencia,0.0021075609198206464
aqui gente,0.0021067311882475705
bacana,0.002101670118017904
verdad,0.0021002254842128597
otro,0.0020992227162466006
mujer,0.002097574240622256
natura tem,0.002097004595423373
ajudar,0.0020961729630144563
filha,0.0020945820917777427
comeca,0.00208659324912474
speaker bien,0.002086143678211751
levar,0.002084812123953998
forte,0.002083677216484691
gente pode,0.0020811234833280723
assim tem,0.0020790490829265236
tema,0.002078027238916448
natal,0.002077566946616427
favor,0.0020740414850731266
compraria,0.002073674432700759
deus,0.0020717802095327666
esse aqui,0.002070701826273637
marca speaker,0.002068243592041648
abrir,0.002065361766050533
energia,0.0020635728548190125
quatro,0.0020630741437815477
competencia meeting,0.0020620776600858205
anos competencia,0.0020620776600858205
tudo speaker,0.002048585879724581
pega,0.0020438409907807295
tarde,0.00204212545640931
opcoes,0.0020410599164070427
gostou,0.002037617940273339
ruim,0.0020351822516197606
assim gente,0.002034545567070427
desconto,0.00203326270670443
tan,0.0020326895253806035
comecou,0.0020298699342507116
existe,0.002028365108056852
hoje dia,0.002025852975362787
conversar,0.0020257112028719726
cosa,0.0020221333458215925
mudar,0.0020217868814224253
ouvir,0.0020212417827602048
muitos,0.002017665329367564
bom gente,0.0020142126332704487
horas,0.0020136240110830025
acho gente,0.002008019425559179
celular,0.002002882650879136
querer,0.0020028377037945135
pra ver,0.0020027166554187083
anos otras,0.0020019888693769815
nisso,0.0019985061556269355
achou,0.0019943920513508877
tem esse,0.0019916085075651234
muchas gracias,0.0019894549314122653
texto,0.001987678750622284
dou,0.001987285250916344
gusto,0.001982345513641395
naturaleza,0.0019810521062590693
querem,0.0019806080719116763
rotina,0.0019755542286328445
trocar,0.0019754385444661856
informacoes,0.001975169808416553
ouvindo,0.001969803632389851
contato,0.001967897641343002
delas,0.001967432746531231
marido,0.0019669737571129955
fazem,0.001966517496589136
falar speaker,0.0019629075339628343
ingredientes,0.0019598126679127546
historia,0.0019556362233548513
falou assim,0.0019491155101707903
agora speaker,0.0019435510722156596
iii,0.0019425848967291155
processo,0.0019356713126938104
havana,0.0019337182478589429
quiere,0.0019332647280523075
seus,0.0019306416016607749
pagina,0.0019303950945437703
havana iii,0.0019287497191174572
acontece,0.001928709903986496
mora,0.0019265658697950902
title havana,0.001922444179296143
gente sabe,0.0019218921039839288
iii meeting,0.0019186754121386124
vendas,0.001918011006294107
maes meeting,0.0019177628799059853
queda,0.0019176237038081101
coloca,0.0019169954796433657
propria,0.0019148743510131858
cinco,0.0019134144852618969
mandar,0.0019127830203584232
essa ideia,0.0019119186924201562
feito,0.0019101773396835592
condicionador,0.0019087817963811275
mim speaker,0.0019082801084418554
pra pele,0.0019073652921982366
transcribed,0.0019072733371343132
mar transcribed,0.0019072733371343132
url,0.0019027934222446041
quer dizer,0.0019004443527103597
color,0.0018972324094028532
transcribed url,0.0018966891413112266
tua,0.0018947611910818713
teria,0.0018903046312451553
muito legal,0.0018869117975238087
atual,0.0018835319641547607
tipos,0.001882098426521675
dinheiro,0.0018816379729446953
vendendo,0.0018777726731699796
speaker verdade,0.0018772037814551452
tienen,0.001874744014797812
speaker gosto,0.001861425212290633
verde,0.0018584544968593196
paulo,0.0018546137418403539
presente speaker,0.0018527241375847965
noche,0.001852599663319977
reuniao,0.0018474855134254077
repente,0.001841155721735391
mama,0.001837966961661393
ciclo,0.0018378910707613477
gostam,0.0018378525181049266
concordo,0.0018343904412464788
agora gente,0.0018336827847568469
bruna,0.001833657353208336
cuerpo,0.0018315536634356021
sinto,0.0018257781881107066
ven,0.0018250105595492858
estoy,0.0018235154354331795
monte,0.0018227528890758368
proposta,0.0018152186441928067
aqui tem,0.0018143025182133885
design,0.0018142482988488162
sustentabilidade,0.0018117263029270249
sino,0.0018084554478697834
perto,0.001808399453091985
poquito,0.0018083380904382732
dar presente,0.0018081162941458134
aconteceu,0.0018023007454634728
priscila,0.0017969123988085184
muito speaker,0.0017947180208518966
speaker sou,0.0017946831627592074
maria,0.0017941549112399679
ganhar,0.0017935631063220193
acho muito,0.001793033987456094
tendo,0.0017910632237070432
quero saber,0.001789938306951945
essas coisas,0.0017879744382774912
muita coisa,0.001787106801868744
fisica,0.0017866779238181357
enquanto,0.0017856655407091746
nenhuma,0.0017848514093306428
tem muita,0.0017780250376055933
quizas,0.0017766635429897523
bien speaker,0.0017741563233974098
olhos,0.001765660734014478
frescura,0.0017656097121077738
imagina,0.0017651566791671855
manha,0.0017641767248549294
vou mostrar,0.0017638055402380305
tem muito,0.00175604034597804
volta,0.0017559120071422695
solo,0.0017549012767037598
entendeu speaker,0.0017508820666801118
interativa,0.0017499917277166138
diferente speaker,0.0017478092798479188
habla,0.0017437707173590725
voltar,0.0017406073227927744
aqueles,0.0017401750894784176
papo,0.0017399596036252248
barato,0.0017394385100745198
soy,0.0017377779053937494
opiniao,0.0017370863289998214
escolheu,0.0017357683807554605
entrou,0.0017352367500812203
speaker otimo,0.0017329899014432162
palabra,0.001731152662626921
aqui pra,0.0017302289471409849
hijos,0.0017271567780748685
perdon,0.0017229154337335489
livre,0.001715592647089156
speaker gostei,0.0017116746182196363
lancamento,0.001711333453129669
modelo,0.0017078031201328973
fundo,0.0017075640046948972
ver speaker,0.001706711856234211
menina,0.0017063968516711902
speaker tipo,0.0017037475011364783
