solution,k,persona_id,term,score,count,lift,persona_nome_auto
macro_k3,3,macro_k3_p02,filho,6.584877659089174,169,2.604390429657934,Compradora Social e Presenteadora
macro_k3,3,macro_k3_p02,dizer,6.574965909154485,365,2.046227182036668,Compradora Social e Presenteadora
macro_k3,3,macro_k3_p02,site,6.551064305691535,217,2.3758711681308373,Compradora Social e Presenteadora
macro_k3,3,macro_k3_p02,casa,6.534713646460877,396,1.980355689191944,Compradora Social e Presenteadora
macro_k3,3,macro_k3_p02,manda,6.529688245549696,172,2.55050829889124,Compradora Social e Presenteadora
macro_k3,3,macro_k3_p02,mercado livre,6.462953587985348,66,3.650994684971699,Compradora Social e Presenteadora
macro_k3,3,macro_k3_p02,madres,6.438484729922722,50,4.142454966418185,Compradora Social e Presenteadora
macro_k3,3,macro_k3_p02,maes,6.4207106940820085,139,2.6667548022577594,Compradora Social e Presenteadora
macro_k3,3,macro_k3_p02,carrinho,6.401704558707678,73,3.4254076277234082,Compradora Social e Presenteadora
macro_k3,3,macro_k3_p02,comprei,6.385943510311363,196,2.3492136388231097,Compradora Social e Presenteadora
macro_k3,3,macro_k3_p02,vou,6.3833922040349815,952,1.535969181688698,Compradora Social e Presenteadora
macro_k3,3,macro_k3_p02,madre,6.34837444563174,61,3.656219989162009,Compradora Social e Presenteadora
macro_k3,3,macro_k3_p02,ellos,6.307962607525432,79,3.218619948252356,Compradora Social e Presenteadora
macro_k3,3,macro_k3_p02,aniversario,6.184086504131434,98,2.8412367593197674,Compradora Social e Presenteadora
macro_k3,3,macro_k3_p02,pela internet,6.16647974417291,71,3.228678135590645,Compradora Social e Presenteadora
macro_k3,3,macro_k3_p02,mama,6.129681089505131,107,2.7030793693317023,Compradora Social e Presenteadora
macro_k3,3,macro_k3_p02,internet,6.128537454699811,138,2.4624760540307244,Compradora Social e Presenteadora
macro_k3,3,macro_k3_p02,nuestros,6.093806366187957,47,3.8265814940333565,Compradora Social e Presenteadora
macro_k3,3,macro_k3_p02,promocao,6.073544781839123,208,2.116999938316689,Compradora Social e Presenteadora
macro_k3,3,macro_k3_p02,49,6.039057198473039,112,2.5875221937712256,Compradora Social e Presenteadora
macro_k3,3,macro_k3_p02,nosotras,5.972723157305101,53,3.469624265112335,Compradora Social e Presenteadora
macro_k3,3,macro_k3_p02,dou,5.956933743895238,116,2.493434599763072,Compradora Social e Presenteadora
macro_k3,3,macro_k3_p02,presente,5.94317986286391,417,1.6770269781632674,Compradora Social e Presenteadora
macro_k3,3,macro_k3_p02,sogra,5.91156320634931,44,3.7253978487584356,Compradora Social e Presenteadora
macro_k3,3,macro_k3_p02,me manda,5.870584172606898,56,3.2717271773985197,Compradora Social e Presenteadora
