doc_id,speaker_id,role_inferido,n_turns,n_words,question_rate,word_share
doc_27d3eb4bf6306e35,2,interviewer_heuristic,8,214,0.875,0.052450980392156864
doc_27d3eb4bf6306e35,3,interviewer_heuristic,33,859,0.8787878787878788,0.2105392156862745
doc_295321b3ea85e862,1,participant_or_unknown,71,646,0.323943661971831,0.061924846625766874
doc_295321b3ea85e862,2,participant_or_unknown,186,2340,0.44086021505376344,0.22430981595092025
doc_295321b3ea85e862,3,interviewer_heuristic,225,1316,0.52,0.12615030674846625
doc_295321b3ea85e862,4,interviewer_heuristic,321,3805,0.6728971962616822,0.3647430981595092
doc_295321b3ea85e862,5,participant_or_unknown,53,410,0.32075471698113206,0.039302147239263806
doc_295321b3ea85e862,6,participant_or_unknown,28,68,0.32142857142857145,0.00651840490797546
doc_295321b3ea85e862,7,participant_or_unknown,93,1431,0.3655913978494624,0.13717407975460122
doc_295321b3ea85e862,8,interviewer_heuristic,50,416,0.46,0.03987730061349693
doc_2da4b14181ace08e,1,interviewer_heuristic,68,1733,0.7058823529411765,0.12245618993781798
doc_2da4b14181ace08e,2,interviewer_heuristic,164,2930,0.9024390243902439,0.20703787450537026
doc_2da4b14181ace08e,3,interviewer_heuristic,79,3857,0.6962025316455697,0.2725409836065574
doc_2da4b14181ace08e,4,interviewer_heuristic,45,1567,0.5111111111111111,0.1107263990955342
doc_2da4b14181ace08e,5,interviewer_heuristic,57,2443,0.6491228070175439,0.17262577727529677
doc_2da4b14181ace08e,6,participant_or_unknown,43,1403,0.37209302325581395,0.09913793103448276
doc_2da4b14181ace08e,7,interviewer_heuristic,7,219,1.0,0.015474844544940644
doc_2e794b5b52308c61,1,interviewer_heuristic,31,980,0.6129032258064516,0.09090065856599573
doc_2e794b5b52308c61,2,participant_or_unknown,3,312,1.0,0.02893980150264354
doc_2e794b5b52308c61,3,interviewer_heuristic,216,5251,0.8009259259259259,0.4870605695204526
doc_2e794b5b52308c61,4,interviewer_heuristic,31,795,0.6451612903225806,0.07374084036731286
doc_2e794b5b52308c61,5,participant_or_unknown,53,1207,0.4339622641509434,0.11195621927464984
doc_2e794b5b52308c61,6,interviewer_heuristic,56,1649,0.6071428571428571,0.15295427140339485
doc_2e794b5b52308c61,7,participant_or_unknown,64,587,0.34375,0.054447639365550506
doc_2ea20bb0263aff60,1,interviewer_heuristic,381,7301,0.7007874015748031,0.5482877741063382
doc_2ea20bb0263aff60,2,interviewer_heuristic,223,2958,0.45739910313901344,0.2221387804145389
doc_2ea20bb0263aff60,3,interviewer_heuristic,146,1774,0.4863013698630137,0.13322319014719136
doc_2ea20bb0263aff60,4,participant_or_unknown,105,1283,0.3904761904761905,0.0963502553319315
doc_2f47184626ff09c1,1,interviewer_heuristic,388,6468,0.6932989690721649,0.48911070780399274
doc_2f47184626ff09c1,2,participant_or_unknown,61,778,0.3114754098360656,0.058832425892317
doc_2f47184626ff09c1,3,participant_or_unknown,159,1671,0.23270440251572327,0.12636116152450091
doc_2f47184626ff09c1,4,participant_or_unknown,86,1160,0.27906976744186046,0.08771929824561403
doc_2f47184626ff09c1,5,interviewer_heuristic,218,2454,0.463302752293578,0.18557168784029038
doc_2f47184626ff09c1,6,participant_or_unknown,95,693,0.25263157894736843,0.05240471869328494
doc_2fad00e3ce11f4af,1,interviewer_heuristic,149,6383,0.5771812080536913,0.7232041694992069
doc_2fad00e3ce11f4af,2,interviewer_heuristic,11,236,0.6363636363636364,0.02673917969635169
doc_2fad00e3ce11f4af,3,interviewer_heuristic,40,1013,0.825,0.11477452979832313
doc_2fad00e3ce11f4af,4,interviewer_heuristic,91,1194,0.8681318681318682,0.13528212100611828
doc_2fd5110893661ffc,1,interviewer_heuristic,9,121,0.5555555555555556,0.022667665792431624
doc_2fd5110893661ffc,2,interviewer_heuristic,57,2279,0.5964912280701754,0.4269389284376171
doc_2fd5110893661ffc,3,interviewer_heuristic,43,1270,0.813953488372093,0.23791682278006743
doc_2fd5110893661ffc,4,interviewer_heuristic,24,911,0.5833333333333334,0.17066316972648932
doc_2fd5110893661ffc,5,interviewer_heuristic,26,757,0.7307692307692307,0.14181341326339453
doc_304cab7668293378,1,interviewer_heuristic,204,5392,0.6666666666666666,0.42260365232384983
doc_304cab7668293378,2,participant_or_unknown,65,1838,0.4153846153846154,0.14405517673798887
doc_304cab7668293378,3,interviewer_heuristic,62,2671,0.4838709677419355,0.20934242495493377
doc_304cab7668293378,4,participant_or_unknown,65,1337,0.38461538461538464,0.10478877654988636
