doc_id,n_chunks,n_chunks_modeling,min_words,mean_words,p50_words,max_words,pct_kept
doc_d3a4fcca193fb469,45,45,146,246.57777777777778,246.0,287,1.0
doc_d42528cd9f4f9278,66,65,99,246.92424242424244,245.0,295,0.9848484848484849
doc_d52d828ab53d85d0,36,36,139,248.02777777777777,247.0,276,1.0
doc_d61537ccd540a8ec,63,63,177,248.87301587301587,246.0,307,1.0
doc_d64503ab71e69ea1,11,11,139,235.63636363636363,241.0,262,1.0
doc_d7948b6302ad2fee,61,61,161,243.29508196721312,244.0,271,1.0
doc_d9b928d2f9d57ae9,69,69,237,246.17391304347825,244.0,276,1.0
doc_dbba6e8dcfd5390a,50,50,181,254.82,252.0,346,1.0
doc_de596209415382fe,17,17,172,241.0,243.0,258,1.0
doc_e5652afcdfc168fe,65,0,158,256.5230769230769,252.0,304,0.0
doc_e64af23fbf476840,69,0,95,264.3478260869565,257.0,389,0.0
doc_e668ad5d413dd19f,71,71,147,246.61971830985917,245.0,280,1.0
doc_e6f876a11a7cffdd,56,55,240,248.55357142857142,245.5,306,0.9821428571428571
doc_e88651825b162294,38,38,240,256.36842105263156,250.5,294,1.0
doc_e9d9fb1438841663,14,14,73,237.5,250.0,260,1.0
doc_eb6a4496f5f5d136,37,36,186,244.83783783783784,245.0,265,0.972972972972973
doc_ec00d9b912869528,24,24,151,243.83333333333334,243.0,288,1.0
doc_ecbea0911b71e6fa,58,58,240,248.36206896551724,245.0,287,1.0
doc_ee180b4e719d4d7e,71,71,183,244.35211267605635,244.0,263,1.0
doc_ee8d1372d1a391aa,23,23,215,246.7826086956522,245.0,280,1.0
doc_eeb118edb6d745e0,37,37,78,242.13513513513513,245.0,263,1.0
doc_f17a8b4e6ffe8287,14,14,204,248.64285714285714,247.5,277,1.0
doc_f32e185da3913dd6,16,16,82,238.25,244.5,265,1.0
doc_f40017cf17c84e54,28,28,203,250.71428571428572,249.0,294,1.0
doc_f497f66116fbe1ab,18,18,160,241.5,241.5,282,1.0
doc_fbdf5e17373e8de3,35,0,140,243.54285714285714,245.0,269,0.0
doc_fcc334ae6da3d7f2,29,29,241,250.17241379310346,247.0,295,1.0
doc_ff5e78e6e44318bb,20,20,133,240.8,245.0,261,1.0
